Link,title,location,company,salary,summary,upload
https://kr.indeed.com/viewjob?jk=fbbb4f2637c9bbe9,컴퓨터비전 개발자 경력 정규직,서울 성동구,라이트비전,,바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++,Posted12일 전
https://kr.indeed.com/viewjob?jk=3b1aacc7e45f068a,농업정책보험금융원 신규직원,서울,농업정책보험금융원,,"통계 패키지*를 활용하여 통계, 응용통계 및 데이터 분석 업무 경력이 1년 이상인 자 * SAS, R, python 등 * 경력증명서(담당업무 혹은 소속부서로 업무 추정이 가능할 경우 소속부서가 명시되어야 함) 제출 전형단계...",Posted7일 전
https://kr.indeed.com/viewjob?jk=78e99625e5de3c95,전문연구요원 (병역특례) 수시 (AI / HW 분야),성남 분당구,딥엑스,"연봉 40,000,000원 - 100,000,000원","모델의 RTL IP 설계 및 IP 검증 가능자 - Language: Python/Perl, C/C++ [우대 조건] - ARM based SoC 설계... Linux, shell, tcl, python, perl 사용 원활...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=f719971f5df4f2d6,딥러닝 영상 SW 개발 (서울 경력/석사),서울 구로구,지오비전,,비디오 영상 기반의 c++/ python SW 개발- 지원 자격컴퓨터 공학 학사 또는 이와 동등한 학위 (경력자의 경우 실무경력 2년 이상)딥러닝 개발 경험 및 관련 지식 보유c/c++/ python 등 1개 이상 언어 사용에...,Posted7일 전
https://kr.indeed.com/viewjob?jk=5fc53d8ce25c05f7,IT 개발 총 책임자,서울 성동구,핀후드,"연봉 90,000,000원 - 100,000,000원",스템접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python,Posted30+일 전
https://kr.indeed.com/viewjob?jk=e37ba9dca2e4da16,[DI팀] 기계학습 Engineer (개인화 및 추천),서울 강남구,야놀자,,용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신...,Posted11일 전
https://kr.indeed.com/viewjob?jk=f21952a2d7a0bfd8,"[Robotics] Robotics Software Engineer, Navigation",서울,네이버,,"요역량 ㅇ 컴퓨터 공학, 로봇 공학, 전자 공학 등 관련 기술 분야 석사 이상 학위 또는 3년 이상의 경력 ㅇ Python 혹은 C++ 언어의 능숙한 활용 ㅇ ROS/ROS2 혹은 유사한 framework를 활용한 robot...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=a89f5e3486cccd04,[TmaxAI/R&D] NLP(자연어음성)부문 서비스 프론트 & 백엔드 개발자(2022년 상반기 신입 공채(...,성남 분당구,티맥스소프트,,"개발 경험이 있으신 분 [음성, 자연어처리] - 관련 분야의 연구 경험 / 기본 지식 보유자 - 기본적인 Python 프로그래밍이 가능하신 분 우대사항 [프론트] - UX 기획 및 개발 유경험자 - react 개발 유경험자...",Posted8일 전
https://kr.indeed.com/viewjob?jk=e91b5984e7f5d3fd,"데이터베이스개발자, 웹개발 신입/경력 정규직",서울 영등포구,여의도사람들,"연봉 36,000,000원 - 60,000,000원","개발자 ㆍCss/html 등 웹디자인 관련 유경험자 ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode, Selenium, electron... 관련 유경험자ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=1654fcd801c4dca6,DBA,서울,Toss,,분이 필요합니다. # 이런 경험이 있다면 더 좋습니다 - MongoDB 운영 경험이 있으면 더 좋습니다. - Python으로 운영 자동화 스크립트 개발 경험이 있으면 더 좋습니다. # 토스팀으로의 합류 여정 - 서류 접수...,Posted방금 게시됨
