Link,title,location,company,salary,summary,upload
https://kr.indeed.com/viewjob?jk=f36f01a69ee32d06,DGIST 계약직 연구원 및 일반직원 초빙 공고,대구 현풍면,대구경북과학기술원,,"응용 시스템 S/W 구현 - ARM 또는 DSP 계열 임베디드 비전 플랫폼 용 S/W 개발 - Linux/ Android 등 임베디드 O/S 기반 개발업무 우대 사항 MFC, C/C++, DSP, ARM기반 임베디드...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=79c7d4e3bd79c600,CS('22.1월),서울,한화그룹,,"이상 우대사항 - CCTV 관련 업계 개발/검증 경험 보유자 - SW테스팅 자격증(ISTQB) 보유자 - Android, iOS 서비스 등 Software 관련 QA 경력 보유자(서비스 론칭/운영 경험) O명 판교 한화...",Posted11일 전
https://kr.indeed.com/viewjob?jk=260b205895840d65,JT친애저축은행 [업무개발자] 경력 직원,서울,JT친애저축은행,,"개발자(계정계/대외계/ 모바일)· 저축은행 계정계 여/수신 업무 개발· 대외 연계 개발· 모바일 웹/앱 Android, iOS 개발 *JAVA기반 Framework 활용 [자격요건]· 경력 1년 이상 (리더급 경력 5년 이상...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=83d69c5f85d9e875,[워킹페이] 핀테크 금융 플랫폼 프론트엔드 개발자,청주 상당구,워킹랩스,,웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>응용프로그래머> Android|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>HTML·퍼블리싱·UI...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=da35c07c2396b25f,Senior Android Engineer,서울 영등포구,뱅크샐러드,,"Test 구축 경험 Android Library 혹은 SDK 개발과 함께 API 버전 및 문서를 직접 관리해본 경험 Android 커뮤니티에 글, 발표, 코드로 직접 기여한 경험 Android 오픈 소스 기여 경험 추가 정보...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=42f55c10296b6094,디자이너 경력직,서울 송파구,와이즈솔루션,,"웹 퍼블리싱 가능자 - html/css에 대한 기본적인 지식을 가지신 분 - Sketch를 통한 App / Web UI 디자인 Skill - IOS, Android 디바이스에 대한 이해가 깊으신 분 - 협업 툴 사용 가능자",Posted30+일 전
https://kr.indeed.com/viewjob?jk=8539d096f25381e1,업계 상위 연봉 개발직군(iOS/Android/Frontend/Backend) 및 기획직군(PM),서울 강남구,에스브이,,"이해 - Git 버전관리 사용 경험 2. Android 개발자 [자격요건] - 2년 이상의 Android 개발 경력 - 앱스토어 업로드 경험 보유... 지식과 경험 - 모바일 환경( Android, iOS Webview) 개발...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=45c8eebc23ecce9c,안드로이드 앱 개발자,서울 마포구,에이아이파크,"연봉 40,000,000원 - 60,000,000원",자격요건]- AIPARK에서 하는 일에 순수한 흥미가 있으신 분- Android APP 개발 경력 2년 차 이상- Java 혹은 Kotlin 언어... 모바일·게임>응용프로그래머> Android|인터넷·IT·통신·모바일·게임...,Posted8일 전
https://kr.indeed.com/viewjob?jk=19b93db9fb547677,시크릿차트와 함께할 개발자,서울 강남구,시크릿차트,,어느 때보다 중요한 현 시점에서 당신이 꼭 필요합니다. Ios / Android / java / php / jQuery / MySQL / Redis... 평가를 받고 있습니다. Ios / Android / java / PHP...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=a70c6568d6be9fb0,안드로이드 및 서버 개발자,서울 강남구,오늘하루,,"2) 주요 업무 - Android 앱 개발 - 서버 API 개발 및 매칭 알고리즘 고도화 - 앱 리팩토링 및 고도화 3) 필요 조건 - 개발 기본 지식(알고리즘, 자료구조 등) 보유 - Android 앱 개발 (Native...",Posted30+일 전
